           M00      M02       M11      M20  	M03  	 M12  	  M21  	     M30   
 1 - 1    0.630    0.404    -1.310    0.630    0.178    -0.196    0.115    0.063      
  
 1 - 2    0.610    0.089    0.399    0.658    0.002    0.019    0.041    -0.018      
  
 1 - 3    0.446    0.031    0.180    0.460    -0.004    -0.008    0.055    0.180      
  
 1 - 4    0.492    0.032    0.097    0.482    -0.002    -0.016    -0.058    -0.015      
  
 1 - 5    0.624    0.389    -1.249    0.601    0.074    -0.064    -0.015    0.105      
  
 1 - 6    0.912    0.655    -0.488    0.848    -0.668    1.191    0.329    -0.663      
  
 1 - 7    0.538    0.050    -0.211    0.545    0.009    -0.031    0.032    0.117      
  
 1 - 8    0.617    0.330    -1.165    0.635    0.071    -0.168    0.262    -0.121      
  
 1 - 9    0.650    0.236    -0.520    0.611    0.113    0.146    -0.547    0.200      
  
 1 - 10    0.801    0.294    0.479    0.921    0.252    0.390    -0.220    -0.678      
  
 mean(1)   0.632    0.251    -0.379    0.639    0.002    0.126    -0.000    -0.083       
 var(1)    0.017    0.038    0.418    0.019    0.056    0.150    0.055    0.095      
  
  
 2 - 1    1.234    1.390    -0.991    0.902    0.037    2.324    -0.593    -0.766      
  
 2 - 2    0.985    1.084    -0.497    0.800    0.551    0.919    -1.588    -0.940      
  
 2 - 3    1.483    1.662    -0.597    1.742    0.050    1.178    0.049    -0.802      
  
 2 - 4    1.418    1.576    1.445    1.828    -2.125    -2.488    -1.139    1.408      
  
 2 - 5    1.031    0.880    0.993    1.328    0.426    0.674    0.694    0.261      
  
 2 - 6    1.378    1.291    -0.248    1.515    -0.246    1.494    -1.366    -2.232      
  
 2 - 7    0.827    1.119    0.576    0.411    3.234    0.944    -0.733    -0.562      
  
 2 - 8    1.424    1.694    -0.234    1.264    0.821    1.320    -0.077    -0.570      
  
 2 - 9    1.392    1.631    1.334    1.508    -1.547    -1.815    -2.447    0.580      
  
 2 - 10    0.899    0.609    -0.462    1.044    -0.755    1.477    -0.222    -2.507      
  
 mean(2)   1.207    1.294    0.132    1.234    0.045    0.603    -0.742    -0.613       
 var(2)    0.055    0.121    0.693    0.179    1.914    2.098    0.759    1.265      
  
  
 3 - 1    1.313    1.274    -1.728    1.495    -0.916    0.880    -1.476    0.284      
  
 3 - 2    1.017    0.501    -0.603    1.137    -0.667    1.057    -1.104    -0.169      
  
 3 - 3    1.319    1.512    1.295    1.619    -1.779    -1.341    -3.295    -0.059      
  
